"YEAR","MONTH","DATE","SITE","TRANSECT","QUAD","SIDE","SUBSTRATE_TYPE","COMMON_NAME","PERCENT_COVER"
2000,9,"2000-09-08","CARP",1,20,"I","B","Bedrock",100
2000,9,"2000-09-08","CARP",1,20,"I","BL","Boulder Large",0
2000,9,"2000-09-08","CARP",1,20,"I","BM","Boulder Medium",0
2000,9,"2000-09-08","CARP",1,20,"I","BS","Boulder Small",0
2000,9,"2000-09-08","CARP",1,20,"I","C","Cobble",0
2000,9,"2000-09-08","CARP",1,20,"I","S","Sand",0
2000,9,"2000-09-08","CARP",1,20,"I","SH","Shell debris",0
2000,9,"2000-09-08","CARP",1,20,"I","SS","Shallow Sand",0
2000,9,"2000-09-08","CARP",1,20,"O","B","Bedrock",100
2000,9,"2000-09-08","CARP",1,20,"O","BL","Boulder Large",0
2000,9,"2000-09-08","CARP",1,20,"O","BM","Boulder Medium",0
2000,9,"2000-09-08","CARP",1,20,"O","BS","Boulder Small",0
2000,9,"2000-09-08","CARP",1,20,"O","C","Cobble",0
2000,9,"2000-09-08","CARP",1,20,"O","S","Sand",0
2000,9,"2000-09-08","CARP",1,20,"O","SH","Shell debris",0
2000,9,"2000-09-08","CARP",1,20,"O","SS","Shallow Sand",0
2000,9,"2000-09-08","CARP",1,40,"I","B","Bedrock",100
2000,9,"2000-09-08","CARP",1,40,"I","BL","Boulder Large",0
2000,9,"2000-09-08","CARP",1,40,"I","BM","Boulder Medium",0
2000,9,"2000-09-08","CARP",1,40,"I","BS","Boulder Small",0
2000,9,"2000-09-08","CARP",1,40,"I","C","Cobble",0
2000,9,"2000-09-08","CARP",1,40,"I","S","Sand",0
2000,9,"2000-09-08","CARP",1,40,"I","SH","Shell debris",0
2000,9,"2000-09-08","CARP",1,40,"I","SS","Shallow Sand",0
2000,9,"2000-09-08","CARP",1,40,"O","B","Bedrock",100
2000,9,"2000-09-08","CARP",1,40,"O","BL","Boulder Large",0
2000,9,"2000-09-08","CARP",1,40,"O","BM","Boulder Medium",0
2000,9,"2000-09-08","CARP",1,40,"O","BS","Boulder Small",0
2000,9,"2000-09-08","CARP",1,40,"O","C","Cobble",0
2000,9,"2000-09-08","CARP",1,40,"O","S","Sand",0
2000,9,"2000-09-08","CARP",1,40,"O","SH","Shell debris",0
2000,9,"2000-09-08","CARP",1,40,"O","SS","Shallow Sand",0
2000,9,"2000-09-08","CARP",2,20,"I","B","Bedrock",90
2000,9,"2000-09-08","CARP",2,20,"I","BL","Boulder Large",0
2000,9,"2000-09-08","CARP",2,20,"I","BM","Boulder Medium",0
2000,9,"2000-09-08","CARP",2,20,"I","BS","Boulder Small",0
2000,9,"2000-09-08","CARP",2,20,"I","C","Cobble",5
2000,9,"2000-09-08","CARP",2,20,"I","S","Sand",0
2000,9,"2000-09-08","CARP",2,20,"I","SH","Shell debris",5
2000,9,"2000-09-08","CARP",2,20,"I","SS","Shallow Sand",0
2000,9,"2000-09-08","CARP",2,20,"O","B","Bedrock",80
2000,9,"2000-09-08","CARP",2,20,"O","BL","Boulder Large",0
2000,9,"2000-09-08","CARP",2,20,"O","BM","Boulder Medium",0
2000,9,"2000-09-08","CARP",2,20,"O","BS","Boulder Small",0
2000,9,"2000-09-08","CARP",2,20,"O","C","Cobble",10
2000,9,"2000-09-08","CARP",2,20,"O","S","Sand",0
2000,9,"2000-09-08","CARP",2,20,"O","SH","Shell debris",10
2000,9,"2000-09-08","CARP",2,20,"O","SS","Shallow Sand",0
