SITE,WINTER_MEAN_HS_M,WINTER_MAX_HS_M,LAT,LONG,YEAR
ABUR,0.29981685,1.89,34.400275,-119.7445915,2000
AHND,0.692857143,2.92,34.471817,-120.1426165,2000
AQUE,0.778571429,3.4,34.46774988,-120.11905,2000
BULL,0.696813187,2.35,34.45850533,-120.33349,2000
CARP,0.405274725,2.63,34.3916319,-119.5416933,2000
GOLB,0.328461538,1.88,34.4137165,-119.8221,2000
IVEE,0.351978022,2.01,34.402783,-119.85755,2000
MOHK,0.315274725,1.83,34.3940708,-119.72957,2000
NAPL,0.472417582,2.29,34.4221216,-119.95154,2000
ABUR,0.287032967,0.99,34.400275,-119.7445915,2001
AHND,0.688351648,1.35,34.471817,-120.1426165,2001
AQUE,0.656208791,2.26,34.46774988,-120.11905,2001
BULL,0.596373626,2.02,34.45850533,-120.33349,2001
CARP,0.357967033,1.37,34.3916319,-119.5416933,2001
GOLB,0.289725275,1.05,34.4137165,-119.8221,2001
IVEE,0.307912088,1.11,34.402783,-119.85755,2001
MOHK,0.277802198,0.97,34.3940708,-119.72957,2001
NAPL,0.416813187,1.43,34.4221216,-119.95154,2001
ABUR,0.258791209,1.35,34.400275,-119.7445915,2002
AHND,0.528516484,1.39,34.471817,-120.1426165,2002
AQUE,0.595164835,1.53,34.46774988,-120.11905,2002
BULL,0.540714286,1.67,34.45850533,-120.33349,2002
CARP,0.530054945,0.75,34.3916319,-119.5416933,2002
GOLB,0.257637363,1.43,34.4137165,-119.8221,2002
IVEE,0.272417582,1.62,34.402783,-119.85755,2002
MOHK,0.249285714,1.41,34.3940708,-119.72957,2002
NAPL,0.371263736,1.84,34.4221216,-119.95154,2002
ABUR,0.669615385,1.7,34.400275,-119.7445915,2003
AHND,0.571813187,1.94,34.471817,-120.1426165,2003
AQUE,0.648736264,2.03,34.46774988,-120.11905,2003
BULL,0.58467033,1.91,34.45850533,-120.33349,2003
CARP,0.675604396,1.94,34.3916319,-119.5416933,2003
GOLB,0.489285714,1.37,34.4137165,-119.8221,2003
IVEE,0.653186813,1.7,34.402783,-119.85755,2003
MOHK,0.705054945,1.74,34.3940708,-119.72957,2003
NAPL,0.817472527,2.13,34.4221216,-119.95154,2003
ABUR,0.613005464,1.6,34.400275,-119.7445915,2004
AHND,0.534754098,1.52,34.471817,-120.1426165,2004
AQUE,0.601530055,1.8,34.46774988,-120.11905,2004
BULL,0.549945355,1.64,34.45850533,-120.33349,2004
CARP,0.610655738,1.08,34.3916319,-119.5416933,2004
GOLB,0.436448087,1.34,34.4137165,-119.8221,2004
IVEE,0.598087432,1.56,34.402783,-119.85755,2004
MOHK,0.650491803,1.62,34.3940708,-119.72957,2004
NAPL,0.753825137,1.99,34.4221216,-119.95154,2004
ABUR,0.592637363,2.18,34.400275,-119.7445915,2005
AHND,0.576593407,1.97,34.471817,-120.1426165,2005
AQUE,0.636703297,2.26,34.46774988,-120.11905,2005
BULL,0.605164835,1.95,34.45850533,-120.33349,2005
CARP,0.60456044,2.15,34.3916319,-119.5416933,2005
GOLB,0.449175824,1.66,34.4137165,-119.8221,2005
IVEE,0.587307692,1.95,34.402783,-119.85755,2005
MOHK,0.628516484,2.16,34.3940708,-119.72957,2005
NAPL,0.731703297,2.43,34.4221216,-119.95154,2005
ABUR,0.678901099,2.54,34.400275,-119.7445915,2006
AHND,0.573736264,1.88,34.471817,-120.1426165,2006
AQUE,0.654285714,2.15,34.46774988,-120.11905,2006
BULL,0.591593407,1.9,34.45850533,-120.33349,2006
CARP,0.690714286,3.97,34.3916319,-119.5416933,2006
GOLB,0.488571429,2.78,34.4137165,-119.8221,2006
IVEE,0.662087912,2.94,34.402783,-119.85755,2006
MOHK,0.715714286,2.5,34.3940708,-119.72957,2006
NAPL,0.827472527,3.15,34.4221216,-119.95154,2006
ABUR,0.612857143,1.56,34.400275,-119.7445915,2007
AHND,0.512692308,1.35,34.471817,-120.1426165,2007
AQUE,0.580549451,1.59,34.46774988,-120.11905,2007
BULL,0.524450549,1.37,34.45850533,-120.33349,2007
CARP,0.615384615,1.52,34.3916319,-119.5416933,2007
GOLB,0.429450549,1.22,34.4137165,-119.8221,2007
IVEE,0.599450549,1.5,34.402783,-119.85755,2007
MOHK,0.652142857,1.62,34.3940708,-119.72957,2007
NAPL,0.751318681,1.9,34.4221216,-119.95154,2007
ABUR,0.673387978,3.17,34.400275,-119.7445915,2008
AHND,0.592786885,2.37,34.471817,-120.1426165,2008
AQUE,0.66295082,2.75,34.46774988,-120.11905,2008
BULL,0.617978142,2.94,34.45850533,-120.33349,2008
CARP,0.684863388,4.74,34.3916319,-119.5416933,2008
GOLB,0.492896175,3.63,34.4137165,-119.8221,2008
IVEE,0.668469945,3.92,34.402783,-119.85755,2008
MOHK,0.717377049,3.17,34.3940708,-119.72957,2008
NAPL,0.829180328,4.47,34.4221216,-119.95154,2008
ABUR,0.555879121,1.31,34.400275,-119.7445915,2009
AHND,0.471923077,1.25,34.471817,-120.1426165,2009
AQUE,0.530549451,1.3,34.46774988,-120.11905,2009
BULL,0.494065934,1.51,34.45850533,-120.33349,2009
CARP,0.550054945,1.21,34.3916319,-119.5416933,2009
GOLB,0.385714286,1.14,34.4137165,-119.8221,2009
IVEE,0.544340659,1.28,34.402783,-119.85755,2009
MOHK,0.594395604,1.41,34.3940708,-119.72957,2009
NAPL,0.679285714,1.57,34.4221216,-119.95154,2009
ABUR,0.745604396,2.44,34.400275,-119.7445915,2010
AHND,0.623021978,2.05,34.471817,-120.1426165,2010
AQUE,0.711043956,2.21,34.46774988,-120.11905,2010
