site,date_GMT,Mean_Hs_m,Max_Hs_m,latitude,longitude,datetime,month,year
ABUR,2000-01-01,0.11,0.14,34.400275,-119.7445915,2000-01-01,1,2000
ABUR,2000-01-02,0.18,0.22,34.400275,-119.7445915,2000-01-02,1,2000
ABUR,2000-01-03,0.22,0.24,34.400275,-119.7445915,2000-01-03,1,2000
ABUR,2000-01-04,0.19,0.23,34.400275,-119.7445915,2000-01-04,1,2000
ABUR,2000-01-05,0.11,0.15,34.400275,-119.7445915,2000-01-05,1,2000
ABUR,2000-01-06,0.1,0.11,34.400275,-119.7445915,2000-01-06,1,2000
ABUR,2000-01-07,0.11,0.15,34.400275,-119.7445915,2000-01-07,1,2000
ABUR,2000-01-08,0.2,0.24,34.400275,-119.7445915,2000-01-08,1,2000
ABUR,2000-01-09,0.28,0.32,34.400275,-119.7445915,2000-01-09,1,2000
ABUR,2000-01-10,0.31,0.35,34.400275,-119.7445915,2000-01-10,1,2000
ABUR,2000-01-11,0.28,0.32,34.400275,-119.7445915,2000-01-11,1,2000
ABUR,2000-01-12,0.24,0.25,34.400275,-119.7445915,2000-01-12,1,2000
ABUR,2000-01-13,0.27,0.3,34.400275,-119.7445915,2000-01-13,1,2000
ABUR,2000-01-14,0.27,0.39,34.400275,-119.7445915,2000-01-14,1,2000
ABUR,2000-01-15,0.19,0.23,34.400275,-119.7445915,2000-01-15,1,2000
ABUR,2000-01-16,0.13,0.16,34.400275,-119.7445915,2000-01-16,1,2000
ABUR,2000-01-17,0.2,0.31,34.400275,-119.7445915,2000-01-17,1,2000
ABUR,2000-01-18,0.13,0.18,34.400275,-119.7445915,2000-01-18,1,2000
ABUR,2000-01-19,0.17,0.2,34.400275,-119.7445915,2000-01-19,1,2000
ABUR,2000-01-20,0.14,0.16,34.400275,-119.7445915,2000-01-20,1,2000
ABUR,2000-01-21,0.1,0.12,34.400275,-119.7445915,2000-01-21,1,2000
ABUR,2000-01-22,0.08,0.09,34.400275,-119.7445915,2000-01-22,1,2000
ABUR,2000-01-23,0.11,0.14,34.400275,-119.7445915,2000-01-23,1,2000
ABUR,2000-01-24,0.17,0.25,34.400275,-119.7445915,2000-01-24,1,2000
ABUR,2000-01-25,0.22,0.27,34.400275,-119.7445915,2000-01-25,1,2000
ABUR,2000-01-26,0.19,0.22,34.400275,-119.7445915,2000-01-26,1,2000
ABUR,2000-01-27,0.17,0.19,34.400275,-119.7445915,2000-01-27,1,2000
ABUR,2000-01-28,0.19,0.23,34.400275,-119.7445915,2000-01-28,1,2000
ABUR,2000-01-29,0.24,0.25,34.400275,-119.7445915,2000-01-29,1,2000
ABUR,2000-01-30,0.28,0.32,34.400275,-119.7445915,2000-01-30,1,2000
ABUR,2000-01-31,0.55,0.79,34.400275,-119.7445915,2000-01-31,1,2000
ABUR,2000-02-01,0.65,0.83,34.400275,-119.7445915,2000-02-01,2,2000
ABUR,2000-02-02,0.42,0.53,34.400275,-119.7445915,2000-02-02,2,2000
ABUR,2000-02-03,0.36,0.46,34.400275,-119.7445915,2000-02-03,2,2000
ABUR,2000-02-04,0.4,0.49,34.400275,-119.7445915,2000-02-04,2,2000
ABUR,2000-02-05,0.22,0.37,34.400275,-119.7445915,2000-02-05,2,2000
ABUR,2000-02-06,0.65,1.18,34.400275,-119.7445915,2000-02-06,2,2000
ABUR,2000-02-07,0.31,0.5,34.400275,-119.7445915,2000-02-07,2,2000
ABUR,2000-02-08,0.27,0.36,34.400275,-119.7445915,2000-02-08,2,2000
ABUR,2000-02-09,0.35,0.4,34.400275,-119.7445915,2000-02-09,2,2000
ABUR,2000-02-10,0.28,0.32,34.400275,-119.7445915,2000-02-10,2,2000
ABUR,2000-02-11,0.48,0.73,34.400275,-119.7445915,2000-02-11,2,2000
ABUR,2000-02-12,0.28,0.36,34.400275,-119.7445915,2000-02-12,2,2000
ABUR,2000-02-13,0.37,0.44,34.400275,-119.7445915,2000-02-13,2,2000
ABUR,2000-02-14,0.34,0.41,34.400275,-119.7445915,2000-02-14,2,2000
ABUR,2000-02-15,0.62,0.86,34.400275,-119.7445915,2000-02-15,2,2000
ABUR,2000-02-16,0.47,0.64,34.400275,-119.7445915,2000-02-16,2,2000
ABUR,2000-02-17,0.43,0.49,34.400275,-119.7445915,2000-02-17,2,2000
ABUR,2000-02-18,0.38,0.52,34.400275,-119.7445915,2000-02-18,2,2000
ABUR,2000-02-19,0.36,0.45,34.400275,-119.7445915,2000-02-19,2,2000
ABUR,2000-02-20,0.23,0.31,34.400275,-119.7445915,2000-02-20,2,2000
ABUR,2000-02-21,0.56,1.89,34.400275,-119.7445915,2000-02-21,2,2000
ABUR,2000-02-22,0.83,1.32,34.400275,-119.7445915,2000-02-22,2,2000
ABUR,2000-02-23,0.43,0.5,34.400275,-119.7445915,2000-02-23,2,2000
ABUR,2000-02-24,0.56,0.63,34.400275,-119.7445915,2000-02-24,2,2000
ABUR,2000-02-25,0.47,0.66,34.400275,-119.7445915,2000-02-25,2,2000
ABUR,2000-02-26,0.29,0.36,34.400275,-119.7445915,2000-02-26,2,2000
ABUR,2000-02-27,0.23,0.26,34.400275,-119.7445915,2000-02-27,2,2000
ABUR,2000-02-28,0.61,0.76,34.400275,-119.7445915,2000-02-28,2,2000
ABUR,2000-02-29,0.42,0.57,34.400275,-119.7445915,2000-02-29,2,2000
ABUR,2000-03-01,0.28,0.31,34.400275,-119.7445915,2000-03-01,3,2000
ABUR,2000-03-02,0.31,0.35,34.400275,-119.7445915,2000-03-02,3,2000
ABUR,2000-03-03,0.39,0.52,34.400275,-119.7445915,2000-03-03,3,2000
ABUR,2000-03-04,0.54,0.6,34.400275,-119.7445915,2000-03-04,3,2000
ABUR,2000-03-05,0.41,0.47,34.400275,-119.7445915,2000-03-05,3,2000
ABUR,2000-03-06,0.47,0.53,34.400275,-119.7445915,2000-03-06,3,2000
ABUR,2000-03-07,0.42,0.5,34.400275,-119.7445915,2000-03-07,3,2000
ABUR,2000-03-08,0.26,0.32,34.400275,-119.7445915,2000-03-08,3,2000
ABUR,2000-03-09,0.32,0.41,34.400275,-119.7445915,2000-03-09,3,2000
ABUR,2000-03-10,0.43,0.62,34.400275,-119.7445915,2000-03-10,3,2000
ABUR,2000-03-11,0.31,0.36,34.400275,-119.7445915,2000-03-11,3,2000
ABUR,2000-03-12,0.42,0.48,34.400275,-119.7445915,2000-03-12,3,2000
ABUR,2000-03-13,0.34,0.47,34.400275,-119.7445915,2000-03-13,3,2000
ABUR,2000-03-14,0.2,0.23,34.400275,-119.7445915,2000-03-14,3,2000
