"","YEAR","MONTH","DATE","SITE","TRANSECT","SP_CODE","AFDM","SCIENTIFIC_NAME","TAXON_CLASS","GROWTH_MORPH","COARSE_GROUPING"
"3",2000,9,"2000-09-08","CARP",1,"AML",0,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"8",2000,9,"2000-09-08","CARP",1,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"9",2000,9,"2000-09-08","CARP",1,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"34",2000,9,"2000-09-08","CARP",1,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"36",2000,9,"2000-09-08","CARP",1,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"45",2000,9,"2000-09-08","CARP",1,"COCA",0,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"53",2000,9,"2000-09-08","CARP",1,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"59",2000,9,"2000-09-08","CARP",1,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"62",2000,9,"2000-09-08","CARP",1,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"92",2000,9,"2000-09-08","CARP",1,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"95",2000,9,"2000-09-08","CARP",1,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"106",2000,9,"2000-09-08","CARP",1,"KEKE",0.0531457347815361,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"107",2000,9,"2000-09-08","CARP",1,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"110",2000,9,"2000-09-08","CARP",1,"LIGL",75.2836219874853,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"114",2000,9,"2000-09-08","CARP",1,"LOGR",0,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"120",2000,9,"2000-09-08","CARP",1,"MECR",6.13132158020276,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"121",2000,9,"2000-09-08","CARP",1,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"129",2000,9,"2000-09-08","CARP",1,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"132",2000,9,"2000-09-08","CARP",1,"OCTO",0,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"134",2000,9,"2000-09-08","CARP",1,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"135",2000,9,"2000-09-08","CARP",1,"OPES",0,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"136",2000,9,"2000-09-08","CARP",1,"OPSP",5.96599285596134,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"140",2000,9,"2000-09-08","CARP",1,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"141",2000,9,"2000-09-08","CARP",1,"PAPA",0,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"143",2000,9,"2000-09-08","CARP",1,"PBL",0,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"147",2000,9,"2000-09-08","CARP",1,"PGL",0,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"148",2000,9,"2000-09-08","CARP",1,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"157",2000,9,"2000-09-08","CARP",1,"POL",0.988013884640247,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"165",2000,9,"2000-09-08","CARP",1,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"166",2000,9,"2000-09-08","CARP",1,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"187",2000,9,"2000-09-08","CARP",1,"SFL",22.8987385461792,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"196",2000,9,"2000-09-08","CARP",1,"SPL",36.775705593167,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"208",2000,9,"2000-09-08","CARP",1,"TESP",0,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"222",2000,9,"2000-09-08","CARP",2,"AML",0,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"227",2000,9,"2000-09-08","CARP",2,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"228",2000,9,"2000-09-08","CARP",2,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"253",2000,9,"2000-09-08","CARP",2,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"255",2000,9,"2000-09-08","CARP",2,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"264",2000,9,"2000-09-08","CARP",2,"COCA",0,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"272",2000,9,"2000-09-08","CARP",2,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"278",2000,9,"2000-09-08","CARP",2,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"281",2000,9,"2000-09-08","CARP",2,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"311",2000,9,"2000-09-08","CARP",2,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"314",2000,9,"2000-09-08","CARP",2,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"325",2000,9,"2000-09-08","CARP",2,"KEKE",0,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"326",2000,9,"2000-09-08","CARP",2,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"329",2000,9,"2000-09-08","CARP",2,"LIGL",42.2022291085701,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"333",2000,9,"2000-09-08","CARP",2,"LOGR",1.47955188949329,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"339",2000,9,"2000-09-08","CARP",2,"MECR",0,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"340",2000,9,"2000-09-08","CARP",2,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"348",2000,9,"2000-09-08","CARP",2,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"351",2000,9,"2000-09-08","CARP",2,"OCTO",0,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"353",2000,9,"2000-09-08","CARP",2,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"354",2000,9,"2000-09-08","CARP",2,"OPES",0,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
