SP_CODE,SCIENTIFIC_NAME,COMMON_NAME,ADULT,SIZE,SIZE_MIN_REF,SIZE_MAX_REF,GROUP,SURVEY,GUILD,SUBSTRATE_TYPE,MOBILITY,GROWTH_MORPH,WORMS_NAME,APHIAID,RANK,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES
ND,.,No detritus ,.,.,.,.,.,DETRITUS,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NOSP,.,no species present,.,.,.,.,.,QUAD,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NOSP,.,no species present,.,.,.,.,.,SWATH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NOSP,.,no species present,.,.,.,.,.,UPC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NF,.,no fish present,.,.,.,.,FISH,CRYPTIC FISH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NF,.,no fish present,.,.,.,.,FISH,FISH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
B,.,Bedrock,.,.,.,.,SUBSTRATE,UPC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BL,.,Boulder Large,.,.,.,.,SUBSTRATE,UPC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BM,.,Boulder Medium,.,.,.,.,SUBSTRATE,UPC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BS,.,Boulder Small,.,.,.,.,SUBSTRATE,UPC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
C,.,Cobble,.,.,.,.,SUBSTRATE,UPC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
HOLES,.,holes,.,.,.,.,SUBSTRATE,QUAD,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ROCK,.,rock,.,.,.,.,SUBSTRATE,QUAD,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
S,.,Sand,.,.,.,.,SUBSTRATE,UPC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SH,.,Shell debris,.,.,.,.,SUBSTRATE,UPC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SS,.,Shallow Sand,.,.,.,.,SUBSTRATE,UPC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AB,Abietinaria spp.,Coarse Sea Fir Hydroid,AB,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Abietinaria,117225,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,.,.
HC,Acanthancora cyanocrypta,Cobalt Sponge,HC,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Acanthancora cyanocrypta,169126,Species,Animalia,Porifera,Demospongiae,Poecilosclerida,Hymedesmiidae,Acanthancora,Hymenamphiastra,cyanocrypta
